Germany;Partner;year;cborder;Number
France;Slovenia;2015;0;53
France;Sweden;2015;0;54
Germany;Austria;2016;1;1
Germany;Belgium;2016;1;2
Germany;Bulgaria;2016;0;3
Germany;Cyprus;2016;0;4
Germany;Czech Republic;2016;1;5
Germany;Denmark;2016;1;6
Germany;Spain;2016;0;7
Germany;Estonia;2016;0;8
Germany;Finland;2016;0;9
Germany;France;2016;0;10
Germany;United Kingdom;2016;0;11
Germany;Greece;2016;0;12
Germany;Croatia;2016;0;13
Germany;Hungary;2016;0;14
Germany;Ireland;2016;0;15
Germany;Italy;2016;0;16
Germany;Lithuania;2016;0;17
Germany;Luxembourg;2016;0;18
Germany;Latvia;2016;0;19
Germany;Malta;2016;0;20
Germany;Netherlands;2016;1;21
Germany;Poland;2016;1;22
Germany;Portugal;2016;0;23
Germany;Romania;2016;0;24
Germany;Slovak Republic;2016;0;25
Germany;Slovenia;2016;0;26
Germany;Sweden;2016;0;27
France;Austria;2016;0;28
France;Belgium;2016;1;29
France;Bulgaria;2016;0;30
France;Cyprus;2016;0;31
France;Czech Republic;2016;0;32
France;Germany;2016;1;33
France;Denmark;2016;0;34
France;Spain;2016;1;35
France;Estonia;2016;0;36
France;Finland;2016;0;37
France;United Kingdom;2016;0;38
France;Greece;2016;0;39
France;Croatia;2016;0;40
France;Hungary;2016;0;41
France;Ireland;2016;0;42
France;Italy;2016;1;43
France;Lithuania;2016;0;44
France;Luxembourg;2016;1;45
France;Latvia;2016;0;46
France;Malta;2016;0;47
France;Netherlands;2016;0;48
France;Poland;2016;0;49
France;Portugal;2016;0;50
France;Romania;2016;0;51
France;Slovak Republic;2016;0;52
France;Slovenia;2016;0;53
France;Sweden;2016;0;54
Germany;Austria;2017;1;1
Germany;Belgium;2017;1;2
Germany;Bulgaria;2017;0;3
Germany;Cyprus;2017;0;4
Germany;Czech Republic;2017;1;5
Germany;Denmark;2017;1;6
Germany;Spain;2017;0;7
Germany;Estonia;2017;0;8
Germany;Finland;2017;0;9
Germany;France;2017;0;10
Germany;United Kingdom;2017;0;11
Germany;Greece;2017;0;12
Germany;Croatia;2017;0;13
Germany;Hungary;2017;0;14
Germany;Ireland;2017;0;15
Germany;Italy;2017;0;16
Germany;Lithuania;2017;0;17
Germany;Luxembourg;2017;0;18
Germany;Latvia;2017;0;19
Germany;Malta;2017;0;20
Germany;Netherlands;2017;1;21
Germany;Poland;2017;1;22
Germany;Portugal;2017;0;23
Germany;Romania;2017;0;24
Germany;Slovak Republic;2017;0;25
Germany;Slovenia;2017;0;26
Germany;Sweden;2017;0;27
France;Austria;2017;0;28
France;Belgium;2017;1;29
France;Bulgaria;2017;0;30
France;Cyprus;2017;0;31
France;Czech Republic;2017;0;32
France;Germany;2017;1;33
France;Denmark;2017;0;34
France;Spain;2017;1;35
France;Estonia;2017;0;36
France;Finland;2017;0;37
France;United Kingdom;2017;0;38
France;Greece;2017;0;39
France;Croatia;2017;0;40
France;Hungary;2017;0;41
France;Ireland;2017;0;42
France;Italy;2017;1;43
France;Lithuania;2017;0;44
France;Luxembourg;2017;1;45
France;Latvia;2017;0;46
France;Malta;2017;0;47
France;Netherlands;2017;0;48
France;Poland;2017;0;49
France;Portugal;2017;0;50
France;Romania;2017;0;51
France;Slovak Republic;2017;0;52
France;Slovenia;2017;0;53
France;Sweden;2017;0;54
